mm,wk_wknd,hh,k,u
12,wknd,2,1,1
12,wknd,3,1,1
12,wknd,4,1,1
12,wknd,5,1,1
12,wknd,6,1,1
12,wknd,7,1,1
12,wknd,8,1,1
12,wknd,9,1,1
12,wknd,10,1,1
12,wknd,11,1,1
12,wknd,12,1,1
12,wknd,13,1,1
12,wknd,14,1,1
12,wknd,15,1,1
12,wknd,16,1,1
12,wknd,17,1,1
12,wknd,18,1,1
12,wknd,19,1,1
12,wknd,20,1,1
12,wknd,21,1,1
12,wknd,22,1,1
12,wknd,23,1,1
